Date,Price,Log Price,Log Difference
02/02/2009,825.4,6.715868117,-0.000605583
01/30/2009,825.9,6.716473701,-0.022981263
01/29/2009,845.1,6.739454964,-0.033739822
01/28/2009,874.1,6.773194786,0.033030099
01/27/2009,845.7,6.740164687,0.010818628
01/26/2009,836.6,6.729346059,0.005513618
01/23/2009,832,6.723832441,0.005423334
01/22/2009,827.5,6.718409107,-0.015230851
01/21/2009,840.2,6.733639959,0.042549265
01/20/2009,805.2,6.691090694,-0.054263296
01/16/2009,850.1,6.74535399,0.007557008
01/15/2009,843.7,6.737796981,0.001304632
01/14/2009,842.6,6.73649235,-0.03406769
01/13/2009,871.8,6.77056004,0.00172206
01/12/2009,870.3,6.76883798,-0.02283282
01/09/2009,890.4,6.7916708,-0.021444075
01/08/2009,909.7,6.813114875,0.003413536
01/07/2009,906.6,6.809701339,-0.030524284
01/06/2009,934.7,6.840225622,0.007732828
01/05/2009,927.5,6.832492794,-0.004625405
01/02/2009,931.8,6.837118199,0.031174187
12/31/2008,903.2,6.805944013,0.01404862
12/30/2008,890.6,6.791895393,0.024092074
12/29/2008,869.4,6.767803319,-0.003903116
12/26/2008,872.8,6.771706435,0.005399519
12/24/2008,868.1,6.766306915,0.005660501
12/23/2008,863.2,6.760646414,-0.009684189
12/22/2008,871.6,6.770330603,-0.018528521
12/19/2008,887.9,6.788859124,0.002932553
12/18/2008,885.3,6.785926571,-0.02134517
12/17/2008,904.4,6.80727174,-0.009683174
12/16/2008,913.2,6.816954915,0.050072195
12/15/2008,868.6,6.76688272,-0.01269822
12/12/2008,879.7,6.77958094,0.006958335
12/11/2008,873.6,6.772622605,-0.028882874
12/10/2008,899.2,6.801505479,0.011745758
12/09/2008,888.7,6.789759721,-0.023355154
12/08/2008,909.7,6.813114875,0.037634635
12/05/2008,876.1,6.77548024,0.035906954
12/04/2008,845.2,6.739573286,-0.0297242
12/03/2008,870.7,6.769297486,0.025473899
12/02/2008,848.8,6.743823587,0.039164164
12/01/2008,816.2,6.704659423,-0.093504179
11/28/2008,896.2,6.798163602,0.009529754
11/26/2008,887.7,6.788633848,0.034729294
11/25/2008,857.4,6.753904554,0.006552797
11/24/2008,851.8,6.747351757,0.06274003
11/21/2008,800,6.684611728,0.06134363
11/20/2008,752.4,6.623268097,-0.069559785
11/19/2008,806.6,6.692827882,-0.063057447
11/18/2008,859.1,6.75588533,0.009708246
11/17/2008,850.8,6.746177083,-0.026102056
11/14/2008,873.3,6.772279139,-0.042593012
11/13/2008,911.3,6.814872152,0.066933574
11/12/2008,852.3,6.747938578,-0.053344457
11/11/2008,899,6.801283034,-0.022220692
11/10/2008,919.2,6.823503727,-0.012755551
11/07/2008,931,6.836259277,0.028434837
11/06/2008,904.9,6.80782444,-0.051580578
11/05/2008,952.8,6.859405018,-0.054133506
11/04/2008,"1,005.80",6.913538524,0.040064179
11/03/2008,966.3,6.873474345,-0.002583847
10/31/2008,968.8,6.876058192,0.015289704
10/30/2008,954.1,6.860768488,0.025476381
10/29/2008,930.1,6.835292107,-0.011119541
10/28/2008,940.5,6.846411649,0.102470255
10/27/2008,848.9,6.743941394,-0.032337522
10/24/2008,876.8,6.776278916,-0.035075589
10/23/2008,908.1,6.811354505,0.012521633
10/22/2008,896.8,6.798832872,-0.062878469
10/21/2008,955,6.86171134,-0.03133631
10/20/2008,985.4,6.89304765,0.046636001
10/17/2008,940.5,6.846411649,-0.006253664
10/16/2008,946.4,6.852665313,0.041641223
10/15/2008,907.8,6.81102409,-0.094729186
10/14/2008,998,6.905753276,-0.005396236
10/13/2008,"1,003.40",6.911149512,0.109644033
10/10/2008,899.2,6.801505479,-0.011829224
10/09/2008,909.9,6.813334703,-0.07920541
10/08/2008,984.9,6.892540113,-0.011407927
10/07/2008,996.2,6.903948041,-0.059147333
10/06/2008,"1,056.90",6.963095374,-0.039242547
10/03/2008,"1,099.20",7.002337921,-0.013643763
10/02/2008,"1,114.30",7.015981684,-0.041141427
10/01/2008,"1,161.10",7.057123111,-0.004554251
09/30/2008,"1,166.40",7.061677361,0.052810581
09/29/2008,"1,106.40",7.00886678,-0.091985129
09/26/2008,"1,213.00",7.100851909,0.003137646
09/25/2008,"1,209.20",7.097714263,0.019457004
09/24/2008,"1,185.90",7.078257259,-0.001937577
09/23/2008,"1,188.20",7.080194836,-0.015781232
09/22/2008,"1,207.10",7.095976068,-0.038994462
09/19/2008,"1,255.10",7.13497053,0.039491645
09/18/2008,"1,206.50",7.095478885,0.042411875
09/17/2008,"1,156.40",7.05306701,-0.048279418
09/16/2008,"1,213.60",7.101346428,0.017371504
09/15/2008,"1,192.70",7.083974924,-0.048282983
09/12/2008,"1,251.70",7.132257906,0.002159396
09/11/2008,"1,249.00",7.13009851,0.013704366
09/10/2008,"1,232.00",7.116394144,0.006106268
09/09/2008,"1,224.50",7.110287876,-0.034750517
09/08/2008,"1,267.80",7.145038394,0.020318615
09/05/2008,"1,242.30",7.124719779,0.004437101
09/04/2008,"1,236.80",7.120282678,-0.03041878
09/03/2008,"1,275.00",7.150701458,-0.002037139
09/02/2008,"1,277.60",7.152738597,-0.004061871
08/29/2008,"1,282.80",7.156800468,-0.013857392
08/28/2008,"1,300.70",7.17065786,0.014715259
08/27/2008,"1,281.70",7.155942601,0.007990016
08/26/2008,"1,271.50",7.147952585,0.00370327
08/25/2008,"1,266.80",7.144249315,-0.019852156
08/22/2008,"1,292.20",7.164101471,0.011284606
08/21/2008,"1,277.70",7.152816866,0.002507642
08/20/2008,"1,274.50",7.150309224,0.006138851
08/19/2008,"1,266.70",7.144170372,-0.009350636
08/18/2008,"1,278.60",7.153521008,-0.01521296
08/15/2008,"1,298.20",7.168733969,0.004090932
08/14/2008,"1,292.90",7.164643036,0.005506665
08/13/2008,"1,285.80",7.159136372,-0.002951
08/12/2008,"1,289.60",7.162087372,-0.012100807
08/11/2008,"1,305.30",7.174188178,0.006918847
08/08/2008,"1,296.30",7.167269332,0.023572743
08/07/2008,"1,266.10",7.143696589,-0.018080561
08/06/2008,"1,289.20",7.16177715,0.003340977
08/05/2008,"1,284.90",7.158436173,0.028337663
08/04/2008,"1,249.00",7.13009851,-0.009006557
08/01/2008,"1,260.30",7.139105067,-0.00561777
07/31/2008,"1,267.40",7.144722837,-0.013246265
07/30/2008,"1,284.30",7.157969102,0.016565639
07/29/2008,"1,263.20",7.141403463,0.023063162
07/28/2008,"1,234.40",7.118340301,-0.018779141
07/25/2008,"1,257.80",7.137119442,0.004222609
07/24/2008,"1,252.50",7.132896833,-0.023435799
07/23/2008,"1,282.20",7.156332632,0.004063776
07/22/2008,"1,277.00",7.152268856,0.013401856
07/21/2008,"1,260.00",7.138867,-0.000555401
07/18/2008,"1,260.70",7.139422401,0.000317334
07/17/2008,"1,260.30",7.139105067,0.011893024
07/16/2008,"1,245.40",7.127212042,0.024794995
07/15/2008,"1,214.90",7.102417048,-0.010969331
07/14/2008,"1,228.30",7.113386379,-0.009076973
07/11/2008,"1,239.50",7.122463351,-0.011151786
07/10/2008,"1,253.40",7.133615138,0.006965322
07/09/2008,"1,244.70",7.126649816,-0.023031514
07/08/2008,"1,273.70",7.14968133,0.01694419
07/07/2008,"1,252.30",7.13273714,-0.008428803
07/03/2008,"1,262.90",7.141165943,0.001109175
07/02/2008,"1,261.50",7.140056768,-0.018379405
07/01/2008,"1,284.90",7.158436173,0.003820816
06/30/2008,"1,280.00",7.154615357,0.001250782
06/27/2008,"1,278.40",7.153364575,-0.003747662
06/26/2008,"1,283.20",7.157112237,-0.029788783
06/25/2008,"1,322.00",7.18690102,0.005841537
06/24/2008,"1,314.30",7.181059483,-0.002811232
06/23/2008,"1,318.00",7.183870715,7.58754E-05
06/20/2008,"1,317.90",7.18379484,-0.018717425
06/19/2008,"1,342.80",7.202512265,0.003730512
06/18/2008,"1,337.80",7.198781753,-0.009744563
06/17/2008,"1,350.90",7.208526316,-0.006787189
06/16/2008,"1,360.10",7.215313505,7.35267E-05
06/13/2008,"1,360.00",7.215239979,0.014889715
06/12/2008,"1,339.90",7.200350263,0.003289231
06/11/2008,"1,335.50",7.197061033,-0.017001783
06/10/2008,"1,358.40",7.214062816,-0.002499817
06/09/2008,"1,361.80",7.216562633,0.000808081
06/06/2008,"1,360.70",7.215754552,-0.031326032
06/05/2008,"1,404.00",7.247080585,0.019272853
06/04/2008,"1,377.20",7.227807731,-0.00036299
06/03/2008,"1,377.70",7.228170721,-0.005789985
06/02/2008,"1,385.70",7.233960706,-0.010552483
05/30/2008,"1,400.40",7.244513189,0.001500697
05/29/2008,"1,398.30",7.243012492,0.005378092
05/28/2008,"1,390.80",7.2376344,0.003962398
05/27/2008,"1,385.30",7.233672002,0.00680866
05/23/2008,"1,375.90",7.226863341,-0.013284435
05/22/2008,"1,394.30",7.240147776,0.00258528
05/21/2008,"1,390.70",7.237562496,-0.016190932
05/20/2008,"1,413.40",7.253753428,-0.009295842
05/19/2008,"1,426.60",7.26304927,0.000911673
05/16/2008,"1,425.30",7.262137597,0.001193443
05/15/2008,"1,423.60",7.260944154,0.010521581
05/14/2008,"1,408.70",7.250422572,0.004054492
05/13/2008,"1,403.00",7.24636808,-0.000427564
05/12/2008,"1,403.60",7.246795644,0.010960388
05/09/2008,"1,388.30",7.235835256,-0.006748051
05/08/2008,"1,397.70",7.242583307,0.003655525
05/07/2008,"1,392.60",7.238927783,-0.018286468
05/06/2008,"1,418.30",7.25721425,0.00764389
05/05/2008,"1,407.50",7.24957036,-0.004536763
05/02/2008,"1,413.90",7.254107123,0.003258716
05/01/2008,"1,409.30",7.250848406,0.016959868
04/30/2008,"1,385.60",7.233888538,-0.003817761
04/29/2008,"1,390.90",7.237706299,-0.003946477
04/28/2008,"1,396.40",7.241652775,-0.001002076
04/25/2008,"1,397.80",7.242654851,0.006459507
04/24/2008,"1,388.80",7.236195344,0.006429032
04/23/2008,"1,379.90",7.229766312,0.00290297
04/22/2008,"1,375.90",7.226863341,-0.008899881
04/21/2008,"1,388.20",7.235763223,-0.001511607
04/18/2008,"1,390.30",7.23727483,0.017925659
04/17/2008,"1,365.60",7.219349171,0.000659268
04/16/2008,"1,364.70",7.218689903,0.022452872
04/15/2008,"1,334.40",7.196237032,0.004581823
04/14/2008,"1,328.30",7.191655208,-0.003382063
04/11/2008,"1,332.80",7.195037271,-0.020570287
04/10/2008,"1,360.50",7.215607558,0.004419897
04/09/2008,"1,354.50",7.211187662,-0.008088279
04/08/2008,"1,365.50",7.219275941,-0.005113232
04/07/2008,"1,372.50",7.224389173,0.001531226
04/04/2008,"1,370.40",7.222857947,0.000803008
04/03/2008,"1,369.30",7.222054939,0.001315405
04/02/2008,"1,367.50",7.220739534,-0.001972459
04/01/2008,"1,370.20",7.222711994,0.035281613
,,,
